timestamp_utc,timestamp_local,total_load_mw,Atlantic Electric Company Actual Load (MW),"American Electric Power Co., Inc - Appalachian Actual Load (MW)","American Electric Power Co., Inc - Indiana Michigan Actual Load (MW)"
2024-01-01 06:00:00+00:00,2024-01-01 00:00:00,82240.126,946.65,4228.784,2590.721
2024-01-01 07:00:00+00:00,2024-01-01 01:00:00,80933.641,910.061,4235.696,2537.374
2024-01-01 08:00:00+00:00,2024-01-01 02:00:00,79675.021,880.426,4225.935,2493.474
2024-01-01 09:00:00+00:00,2024-01-01 03:00:00,78911.897,863.023,4250.125,2460.641
2024-01-01 10:00:00+00:00,2024-01-01 04:00:00,79479.883,856.91,4302.126,2468.237
2024-01-01 11:00:00+00:00,2024-01-01 05:00:00,80972.968,866.286,4416.696,2472.701
2024-01-01 12:00:00+00:00,2024-01-01 06:00:00,82849.256,887.65,4542.387,2509.283
2024-01-01 13:00:00+00:00,2024-01-01 07:00:00,84279.822,897.426,4687.096,2571.377
2024-01-01 14:00:00+00:00,2024-01-01 08:00:00,85471.601,899.724,4722.19,2608.332
2024-01-01 15:00:00+00:00,2024-01-01 09:00:00,86633.474,863.07,4777.174,2683.736
2024-01-01 16:00:00+00:00,2024-01-01 10:00:00,87792.711,836.402,4807.261,2711.19
2024-01-01 17:00:00+00:00,2024-01-01 11:00:00,88641.035,831.265,4785.738,2781.91
2024-01-01 18:00:00+00:00,2024-01-01 12:00:00,89557.693,859.286,4702.877,2770.632
2024-01-01 19:00:00+00:00,2024-01-01 13:00:00,90261.47,916.235,4641.985,2778.139
2024-01-01 20:00:00+00:00,2024-01-01 14:00:00,90569.605,972.192,4597.925,2830.281
2024-01-01 21:00:00+00:00,2024-01-01 15:00:00,91593.261,1024.367,4646.875,2810.2
2024-01-01 22:00:00+00:00,2024-01-01 16:00:00,94189.323,1132.572,4837.2,2857.565
2024-01-01 23:00:00+00:00,2024-01-01 17:00:00,97966.865,1116.984,5067.255,2911.489
2024-01-02 00:00:00+00:00,2024-01-01 18:00:00,98377.355,1175.98,5096.1,3011.651
2024-01-02 01:00:00+00:00,2024-01-01 19:00:00,97375.631,1124.26,5083.783,2969.736
2024-01-02 02:00:00+00:00,2024-01-01 20:00:00,95569.279,1093.235,5035.194,2939.366
2024-01-02 03:00:00+00:00,2024-01-01 21:00:00,93513.241,1059.547,4976.991,2921.346
2024-01-02 04:00:00+00:00,2024-01-01 22:00:00,89927.198,985.562,4827.706,2855.211
2024-01-02 05:00:00+00:00,2024-01-01 23:00:00,86469.072,886.49,4733.09,2804.023
2024-01-02 06:00:00+00:00,2024-01-02 00:00:00,84069.337,841.706,4623.944,2758.778
2024-01-02 07:00:00+00:00,2024-01-02 01:00:00,82812.039,865.379,4597.702,2723.986
2024-01-02 08:00:00+00:00,2024-01-02 02:00:00,82164.814,862.101,4608.299,2688.789
2024-01-02 09:00:00+00:00,2024-01-02 03:00:00,82620.067,870.846,4624.797,2737.216
2024-01-02 10:00:00+00:00,2024-01-02 04:00:00,84792.563,894.735,4708.547,2800.467
2024-01-02 11:00:00+00:00,2024-01-02 05:00:00,89449.559,948.23,4904.931,2947.613
2024-01-02 12:00:00+00:00,2024-01-02 06:00:00,96455.259,1035.264,5181.851,3155.602
2024-01-02 13:00:00+00:00,2024-01-02 07:00:00,101748.358,1080.776,5421.887,3285.342
2024-01-02 14:00:00+00:00,2024-01-02 08:00:00,102797.134,1047.899,5434.081,3336.384
2024-01-02 15:00:00+00:00,2024-01-02 09:00:00,101900.628,988.25,5326.835,3421.696
2024-01-02 16:00:00+00:00,2024-01-02 10:00:00,100590.854,905.984,5247.65,3468.334
2024-01-02 17:00:00+00:00,2024-01-02 11:00:00,98533.097,816.867,5131.121,3474.036
2024-01-02 18:00:00+00:00,2024-01-02 12:00:00,97114.464,783.205,4999.449,3444.804
2024-01-02 19:00:00+00:00,2024-01-02 13:00:00,96297.255,794.461,4887.545,3389.627
2024-01-02 20:00:00+00:00,2024-01-02 14:00:00,95847.441,849.461,4786.721,3330.228
2024-01-02 21:00:00+00:00,2024-01-02 15:00:00,96555.433,984.98,4745.414,3310.858
2024-01-02 22:00:00+00:00,2024-01-02 16:00:00,99800.336,1121.709,4861.78,3263.44
2024-01-02 23:00:00+00:00,2024-01-02 17:00:00,105474.204,1221.662,5205.035,3308.953
2024-01-03 00:00:00+00:00,2024-01-02 18:00:00,107204.88,1235.503,5415.207,3398.344
2024-01-03 01:00:00+00:00,2024-01-02 19:00:00,106671.643,1226.97,5506.323,3363.674
2024-01-03 02:00:00+00:00,2024-01-02 20:00:00,105358.045,1199.363,5555.346,3327.894
2024-01-03 03:00:00+00:00,2024-01-02 21:00:00,102747.483,1147.296,5517.629,3280.409
2024-01-03 04:00:00+00:00,2024-01-02 22:00:00,98934.914,1086.753,5424.393,3123.454
2024-01-03 05:00:00+00:00,2024-01-02 23:00:00,95114.175,1017.725,5275.418,3020.965
2024-01-03 06:00:00+00:00,2024-01-03 00:00:00,92346.555,972.807,5202.742,2942.172
2024-01-03 07:00:00+00:00,2024-01-03 01:00:00,91064.657,942.77,5214.274,2912.08
2024-01-03 08:00:00+00:00,2024-01-03 02:00:00,90526.405,927.43,5259.797,2841.425
2024-01-03 09:00:00+00:00,2024-01-03 03:00:00,91020.613,936.836,5348.326,2866.441
2024-01-03 10:00:00+00:00,2024-01-03 04:00:00,92893.1,943.608,5463.918,2917.977
2024-01-03 11:00:00+00:00,2024-01-03 05:00:00,97501.804,990.424,5691.698,3025.906
2024-01-03 12:00:00+00:00,2024-01-03 06:00:00,104596.723,1088.177,6049.316,3198.406
2024-01-03 13:00:00+00:00,2024-01-03 07:00:00,109120.871,1118.428,6275.645,3356.482
2024-01-03 14:00:00+00:00,2024-01-03 08:00:00,108519.038,1071.876,6191.894,3329.277
2024-01-03 15:00:00+00:00,2024-01-03 09:00:00,104575.193,957.334,5815.34,3326.115
2024-01-03 16:00:00+00:00,2024-01-03 10:00:00,100714.461,860.81,5410.061,3292.682
2024-01-03 17:00:00+00:00,2024-01-03 11:00:00,98196.899,807.186,5080.531,3322.641
2024-01-03 18:00:00+00:00,2024-01-03 12:00:00,96566.312,772.278,4860.48,3382.94
2024-01-03 19:00:00+00:00,2024-01-03 13:00:00,95775.563,785.418,4783.022,3383.939
2024-01-03 20:00:00+00:00,2024-01-03 14:00:00,95403.418,863.117,4792.221,3257.38
2024-01-03 21:00:00+00:00,2024-01-03 15:00:00,96765.767,967.325,4810.643,3313.09
2024-01-03 22:00:00+00:00,2024-01-03 16:00:00,100001.258,1090.74,4960.398,3369.105
