,predicted_mean
2025-01-01 00:00:00,78484.99482739724
2025-01-01 01:00:00,76619.16358522099
2025-01-01 02:00:00,75660.87608388947
2025-01-01 03:00:00,75409.07106823013
2025-01-01 04:00:00,76310.59646864259
2025-01-01 05:00:00,78810.68255220914
2025-01-01 06:00:00,82723.05446941072
2025-01-01 07:00:00,86192.3469166624
2025-01-01 08:00:00,87662.38100319028
2025-01-01 09:00:00,87634.82042345544
2025-01-01 10:00:00,87045.90567071449
2025-01-01 11:00:00,86135.00492766683
2025-01-01 12:00:00,85371.42200154692
2025-01-01 13:00:00,84848.75665094635
2025-01-01 14:00:00,84701.14963977804
2025-01-01 15:00:00,85260.85460428278
2025-01-01 16:00:00,87766.09241230301
2025-01-01 17:00:00,91815.43152204547
2025-01-01 18:00:00,92162.04089995819
2025-01-01 19:00:00,90991.07942842226
2025-01-01 20:00:00,89546.16924496411
2025-01-01 21:00:00,87468.37268967378
2025-01-01 22:00:00,84414.9169541692
2025-01-01 23:00:00,81232.21455675096
2025-01-02 00:00:00,78396.87318367243
2025-01-02 01:00:00,76467.1237790758
2025-01-02 02:00:00,75501.44690659897
2025-01-02 03:00:00,75254.51074618021
2025-01-02 04:00:00,76213.42133996966
2025-01-02 05:00:00,78848.36800356675
2025-01-02 06:00:00,82887.33483018621
2025-01-02 07:00:00,86418.4466675466
2025-01-02 08:00:00,87728.79566058356
2025-01-02 09:00:00,87406.5259791214
2025-01-02 10:00:00,86667.5163747772
2025-01-02 11:00:00,85734.90697755829
2025-01-02 12:00:00,84965.257445916
2025-01-02 13:00:00,84485.7173763725
2025-01-02 14:00:00,84418.535646627
2025-01-02 15:00:00,85035.9538512294
2025-01-02 16:00:00,87563.33343447886
2025-01-02 17:00:00,91533.0423826594
2025-01-02 18:00:00,91695.63089826635
2025-01-02 19:00:00,90276.30806116198
2025-01-02 20:00:00,88636.10743018844
2025-01-02 21:00:00,86490.76036038152
2025-01-02 22:00:00,83521.50648576276
2025-01-02 23:00:00,80485.91755741683
2025-01-03 00:00:00,77676.16175638049
2025-01-03 01:00:00,75756.72608588074
2025-01-03 02:00:00,74792.2415106209
2025-01-03 03:00:00,74544.51968409166
2025-01-03 04:00:00,75494.17059736962
2025-01-03 05:00:00,78107.35617315593
2025-01-03 06:00:00,82125.8956630368
2025-01-03 07:00:00,85647.03233192093
2025-01-03 08:00:00,86983.14808095005
2025-01-03 09:00:00,86708.43260561714
2025-01-03 10:00:00,85993.64227870457
2025-01-03 11:00:00,85064.53578567461
2025-01-03 12:00:00,84295.865160226
2025-01-03 13:00:00,83809.36640307617
2025-01-03 14:00:00,83729.20726448938
2025-01-03 15:00:00,84337.31287113266
2025-01-03 16:00:00,86861.11966153968
2025-01-03 17:00:00,90843.67771810085
2025-01-03 18:00:00,91035.95980658341
2025-01-03 19:00:00,89656.71251426461
2025-01-03 20:00:00,88048.02391439081
2025-01-03 21:00:00,85913.5767833226
2025-01-03 22:00:00,82930.7361117411
2025-01-03 23:00:00,79871.40898077488
