,forecast_total_load_mw
2025-01-01 00:00:00,79172.02271684242
2025-01-01 01:00:00,77891.33401453987
2025-01-01 02:00:00,77404.44606699095
2025-01-01 03:00:00,77518.27938151907
2025-01-01 04:00:00,78825.8392469279
2025-01-01 05:00:00,81901.51149134264
2025-01-01 06:00:00,86373.22782027585
2025-01-01 07:00:00,90127.22732306411
2025-01-01 08:00:00,91197.25528378358
2025-01-01 09:00:00,90348.37399240232
2025-01-01 10:00:00,89258.1115019881
2025-01-01 11:00:00,88150.05281655033
2025-01-01 12:00:00,87173.81958263887
2025-01-01 13:00:00,86611.28588118427
2025-01-01 14:00:00,86574.67594962337
2025-01-01 15:00:00,87316.58309076203
2025-01-01 16:00:00,89951.3721272093
2025-01-01 17:00:00,93859.58994138305
2025-01-01 18:00:00,93790.3906151799
2025-01-01 19:00:00,92166.75166244054
2025-01-01 20:00:00,90419.55409436129
2025-01-01 21:00:00,88191.8662674577
2025-01-01 22:00:00,85236.67737295789
2025-01-01 23:00:00,82245.33541219759
2025-01-02 00:00:00,79724.67610162307
2025-01-02 01:00:00,78070.00203584238
2025-01-02 02:00:00,77305.34400743338
2025-01-02 03:00:00,77235.16403290836
2025-01-02 04:00:00,78376.45637331034
2025-01-02 05:00:00,81265.2231604487
2025-01-02 06:00:00,85599.03837205151
2025-01-02 07:00:00,89274.62802941984
2025-01-02 08:00:00,90463.48726199794
2025-01-02 09:00:00,89853.62171873199
2025-01-02 10:00:00,88859.5953895038
2025-01-02 11:00:00,87724.56976132534
2025-01-02 12:00:00,86695.47391918818
2025-01-02 13:00:00,86047.90493072692
2025-01-02 14:00:00,85906.84919395678
2025-01-02 15:00:00,86600.73848355512
2025-01-02 16:00:00,89232.05587461701
2025-01-02 17:00:00,93231.34089965551
2025-01-02 18:00:00,93350.7830095216
2025-01-02 19:00:00,92010.54164910101
2025-01-02 20:00:00,90500.25285984148
2025-01-02 21:00:00,88342.56799304594
2025-01-02 22:00:00,85276.58449280806
2025-01-02 23:00:00,82096.95629271294
2025-01-03 00:00:00,79437.53317270108
2025-01-03 01:00:00,77685.11223919573
2025-01-03 02:00:00,76847.85753584214
2025-01-03 03:00:00,76729.58431140936
2025-01-03 04:00:00,77827.42584328295
2025-01-03 05:00:00,80667.35443545716
2025-01-03 06:00:00,84965.13678374086
2025-01-03 07:00:00,88620.23769058533
2025-01-03 08:00:00,89840.13892160739
2025-01-03 09:00:00,89292.7145787669
2025-01-03 10:00:00,88323.82876194913
2025-01-03 11:00:00,87181.75713531522
2025-01-03 12:00:00,86138.85030701496
2025-01-03 13:00:00,85469.06537925295
2025-01-03 14:00:00,85300.72281512365
2025-01-03 15:00:00,85982.06721742488
2025-01-03 16:00:00,88612.4775161002
2025-01-03 17:00:00,92635.55384982978
2025-01-03 18:00:00,92804.27864959103
2025-01-03 19:00:00,91538.07512857828
2025-01-03 20:00:00,90089.67894638871
2025-01-03 21:00:00,87950.2823989239
2025-01-03 22:00:00,84855.35369611064
2025-01-03 23:00:00,81626.53553790097
