,forecast_mw
2024-11-01 00:00:00,73056.83235021771
2024-11-01 01:00:00,70572.48126447549
2024-11-01 02:00:00,69150.57334425599
2024-11-01 03:00:00,68655.79785001134
2024-11-01 04:00:00,69572.33631701517
2024-11-01 05:00:00,72931.99295763693
2024-11-01 06:00:00,78777.17243648559
2024-11-01 07:00:00,83449.51432484364
2024-11-01 08:00:00,84544.08423466269
2024-11-01 09:00:00,83980.77691109043
2024-11-01 10:00:00,83683.8140526078
2024-11-01 11:00:00,83595.73995042162
2024-11-01 12:00:00,84082.30565971178
2024-11-01 13:00:00,84772.24597516417
2024-11-01 14:00:00,85416.99631272149
2024-11-01 15:00:00,86272.96175549146
2024-11-01 16:00:00,87671.5364636659
2024-11-01 17:00:00,88400.09022216637
2024-11-01 18:00:00,88740.89671347839
2024-11-01 19:00:00,88715.64331879545
2024-11-01 20:00:00,87346.88925734443
2024-11-01 21:00:00,84556.17222143595
2024-11-01 22:00:00,80338.31760431145
2024-11-01 23:00:00,76067.44472402784
2024-11-02 00:00:00,72775.64034786832
2024-11-02 01:00:00,70559.50690262453
2024-11-02 02:00:00,69305.81625540025
2024-11-02 03:00:00,68923.11570691029
2024-11-02 04:00:00,69929.34008976513
2024-11-02 05:00:00,73261.09787170727
2024-11-02 06:00:00,79031.65553367526
2024-11-02 07:00:00,83586.27007164
2024-11-02 08:00:00,84672.09044270996
2024-11-02 09:00:00,83939.23505106012
2024-11-02 10:00:00,83321.63974735506
2024-11-02 11:00:00,82976.45735801745
2024-11-02 12:00:00,83203.21958889913
2024-11-02 13:00:00,83729.47154983692
2024-11-02 14:00:00,84265.20432869713
2024-11-02 15:00:00,85122.50559624606
2024-11-02 16:00:00,86601.50566782859
2024-11-02 17:00:00,87722.26416130805
2024-11-02 18:00:00,88480.50234985795
2024-11-02 19:00:00,88769.4500764492
2024-11-02 20:00:00,87233.11906413965
2024-11-02 21:00:00,84309.53394129219
2024-11-02 22:00:00,80151.11861999256
2024-11-02 23:00:00,75975.12996220286
2024-11-03 00:00:00,72764.19339977809
2024-11-03 01:00:00,70628.26245227613
2024-11-03 02:00:00,69424.8741119456
2024-11-03 03:00:00,69075.68817866936
2024-11-03 04:00:00,70108.73075144092
2024-11-03 05:00:00,73432.15523821072
2024-11-03 06:00:00,79180.41115135296
2024-11-03 07:00:00,83699.83738075208
2024-11-03 08:00:00,84783.04449491022
2024-11-03 09:00:00,83999.50880910219
2024-11-03 10:00:00,83286.07015218599
2024-11-03 11:00:00,82864.03292401753
2024-11-03 12:00:00,83013.13443642732
2024-11-03 13:00:00,83490.45654677357
2024-11-03 14:00:00,83993.60172518577
2024-11-03 15:00:00,84851.30248419878
2024-11-03 16:00:00,86354.34367858383
2024-11-03 17:00:00,87592.34129621975
2024-11-03 18:00:00,88475.35950251062
2024-11-03 19:00:00,88858.22922975844
2024-11-03 20:00:00,87271.8056358318
2024-11-03 21:00:00,84308.50320144424
2024-11-03 22:00:00,80167.85567082571
2024-11-03 23:00:00,76020.23010461847
